Subsite,ICD-O-3,Site,Group,Macrogrouping
Biceps brachii muscle,C49.1,Upper limbs,,Soft tissue
Brachialis muscle,C49.1,Upper limbs,,Soft tissue
Coracobrachialis muscle,C49.1,Upper limbs,,Soft tissue
Palmar aponeurosis,C49.1,Upper limbs,,Soft tissue
Palmar fascia,C49.1,Upper limbs,,Soft tissue
Radial artery,C49.1,Upper limbs,,Soft tissue
Triceps brachii muscle,C49.1,Upper limbs,,Soft tissue
Ulnar artery,C49.1,Upper limbs,,Soft tissue
Foot,C49.2,Lower limbs,,Soft tissue
Ankle,C49.2,Lower limbs,,Soft tissue
Leg,C49.2,Lower limbs,,Soft tissue
Knee/popliteal fossa,C49.2,Lower limbs,,Soft tissue
Upper leg ,C49.2,Lower limbs,,Soft tissue
Thigh,C49.2,Lower limbs,,Soft tissue
calf,C49.2,Lower limbs,,Soft tissue
heel,C49.2,Lower limbs,,Soft tissue
hip,C49.2,Lower limbs,,Soft tissue
Biceps femoris muscle,C49.2,Lower limbs,,Soft tissue
Femoral artery,C49.2,Lower limbs,,Soft tissue
Gastrocnemius muscle,C49.2,Lower limbs,,Soft tissue
Plantar aponeurosis,C49.2,Lower limbs,,Soft tissue
Plantar fascia,C49.2,Lower limbs,,Soft tissue
Quadriceps femoris muscle,C49.2,Lower limbs,,Soft tissue
Periscapular,C49.3,Trunk wall,,Soft tissue
Trapezius muscle,C49.3,Trunk wall,,Soft tissue
Pectoral,C49.3,Trunk wall,,Soft tissue
Axilla,C49.3,Trunk wall,,Soft tissue
Axillary Artery,C49.3,Trunk wall,,Soft tissue
Thoracic Wall ,C49.3,Trunk wall,,Soft tissue
Intercostal muscle,C49.3,Trunk wall,,Soft tissue
Latissimus dorsi muscle,C49.3,Trunk wall,,Soft tissue
Pectoralis major muscle,C49.3,Trunk wall,,Soft tissue
Abdominal wall muscle,C49.4,Trunk wall,,Soft tissue
Umbilicus,C49.4,Trunk wall,,Soft tissue
Abdominal wall muscle,C49.4,Trunk wall,,Soft tissue
Iliopsoas muscle,C49.4,Trunk wall,,Soft tissue
Psoas muscle,C49.4,Trunk wall,,Soft tissue
Rectus abdominis muscle,C49.4,Trunk wall,,Soft tissue
Groin ,C49.5,Trunk wall,,Soft tissue
Buttock,C49.5,Trunk wall,,Soft tissue
Gluteus Maximus Muscle,C49.5,Trunk wall,,Soft tissue
Gluteal Region,C49.5,Trunk wall,,Soft tissue
Inguinal Region,C49.5,Trunk wall,,Soft tissue
Sacrococcygeal region,C49.5,Trunk wall,,Soft tissue
Back,C49.6,Trunk wall,,Soft tissue
Flank,C49.6,Trunk wall,,Soft tissue
Trunk,C49.6,Trunk wall,,Soft tissue
Thoracic Wall ,C49.3,Trunk wall,,Soft tissue
Superior vena cava,C49.3,Superior vena cava,Thorax,Soft tissue
Aorta,C49.3,Aorta,Thorax,Soft tissue
Subclavian vessels,C49.3,Subclavian vessels,Thorax,Soft tissue
Heart,C38.0,Heart,Thorax,Soft tissue
"C38.1 Anterior mediastinum, C38.2 Posterior mediastinum, C38.3 Mediastinum, NOS, C38.4 Pleura, NOS, C38.8 Overlapping lesion of heart, mediastinum and pleura",C38.1-38.8,Mediastinum,Thorax,Soft tissue
,,,,
Pleura ,C38.4,Pleura ,Thorax,Soft tissue
