N seq,Group,Label,Behaviour,WHO 5th/ICD-O-3.2 Code,WHO 5th/ICD-O-3.2 Label,Si/No,behaviour
163,Phosphaturic mesenchymal tumor (8990),Phosphaturic mesenchymal tumor (8990),/3,8990/3,"Phosphaturic mesenchymal tumour, malignant",Si,Malignant
164,,,/3,8991/3,Embryonal sarcoma,Si,Malignant
,"Phyllodes tumour, malignant (9020)","Phyllodes tumour, malignant (9020)",/1,9020/1, Phyllodes tumour NOS,Si,Borderline
,"Phyllodes tumour, malignant (9020)","Phyllodes tumour, malignant (9020)",/0,9020/0," Phyllodes tumour, benign",Si,Benign
,"Phyllodes tumour, malignant (9020)","Phyllodes tumour, malignant (9020)",/1,9020/1,"Phyllodes tumour, borderline",Si,Borderline
,"Phyllodes tumour, malignant (9020)","Phyllodes tumour, malignant (9020)",/3,9020/3," Phyllodes tumour, malignant",Si,Malignant
,Synovial sarcoma (9040-9043),"Synovial sarcoma, NOS (9040)",/0,9040/0,"Synovioma, benign",,
165,Synovial sarcoma (9040-9043),"Synovial sarcoma, NOS (9040)",/3,9040/3,Synovial sarcoma NOS,Si,Malignant
166,Synovial sarcoma (9040-9043),"Synovial sarcoma, NOS (9040)",/3,9040/3,"Synovial sarcoma, poorly differentiated",Si,Malignant
167,Synovial sarcoma (9040-9043),Spindle cell sinovial sarcoma (9041),/3,9041/3,"Synovial sarcoma, spindle cell",Si,Malignant
168,Synovial sarcoma (9040-9043),Spindle cell sinovial sarcoma (9041),/3,9041/3,"                          Synovial sarcoma, monophasic",Si,Malignant
169,Synovial sarcoma (9040-9043),Epithelioid sinovial sarcoma (9042),/3,9042/3,"Synovial sarcoma, epithelioid cell",Si,Malignant
170,Synovial sarcoma (9040-9043),Biphasic sinovial sarcoma (9043),/3,9043/3,"Synovial sarcoma, biphasic",Si,Malignant
171,Clear cell sarcoma (9044),Clear cell sarcoma (9044),/3,9044/3,Clear cell sarcoma NOS,Si,Malignant
172,Clear cell sarcoma (9044),Clear cell sarcoma (9044),/3,9044/3,Clear cell sarcoma,Si,Malignant
,,,/3,9045/3,biphenotypic sinonasal sarcoma,Si,Malignant
173,"Angiosarcoma (9120, 9170)",Hemangiosarcoma (9120),/0,9120/0,Haemangioma NOS,Si,Benign
174,"Angiosarcoma (9120, 9170)",Hemangiosarcoma (9120),/0,9120/0,                          Anastomosing haemangioma,Si,Benign
175,"Angiosarcoma (9120, 9170)",Hemangiosarcoma (9120),,,Dieulafoy lesion,No,
176,"Angiosarcoma (9120, 9170)",Hemangiosarcoma (9120),,,Gastric antral vascular ectasia (GAVE),No,
177,"Angiosarcoma (9120, 9170)",Hemangiosarcoma (9120),,,Angiodysplasia,No,
178,"Angiosarcoma (9120, 9170)",Hemangiosarcoma (9120),,,Anastomosing haemangioma,si,Benign
179,"Angiosarcoma (9120, 9170)",Hemangiosarcoma (9120),,,Infantile haemangioma,Si,Benign
180,"Angiosarcoma (9120, 9170)",Hemangiosarcoma (9120),,,Diffuse hepatic haemangiomatosis,No,
181,"Angiosarcoma (9120, 9170)",Hemangiosarcoma (9120),,,Hepatic small vessel neoplasm,No,
182,"Angiosarcoma (9120, 9170)",Hemangiosarcoma (9120),/0,9120/0,Angiomatosis,si,Benign
183,"Angiosarcoma (9120, 9170)",Hemangiosarcoma (9120),,,Usual angiomatosis,Si,Benign
184,"Angiosarcoma (9120, 9170)",Hemangiosarcoma (9120),,,Capillary angiomatosis,Si,Benign
185,"Angiosarcoma (9120, 9170)",Hemangiosarcoma (9120),/3,9120/3,Angiosarcoma,Si,Malignant
186,"Angiosarcoma (9120, 9170)",Hemangiosarcoma (9120),/3,9120/3,Postradiation angiosarcoma,Si,Malignant
187,"Angiosarcoma (9120, 9170)",Hemangiosarcoma (9120),/3,9120/3,                          Epithelioid angiosarcoma,Si,Malignant
,"Hemangioendothelioma (9130, 9133)","Haemangioendothelioma, malignant (composito, kaposiform, retiform) (9130)",/0,9130/0,"Hemangioendothelioma, benign",,
,"Hemangioendothelioma (9130, 9133)","Haemangioendothelioma, malignant (composito, kaposiform, retiform) (9130)",/1,9130/1,Kaposiform haemangioendothelioma,Si,Borderline
,"Hemangioendothelioma (9130, 9133)","Haemangioendothelioma, malignant (composito, kaposiform, retiform) (9130)",/3,9130/3,"Hemangioendothelioma, malignant",,
188,"Hemangioendothelioma (9130, 9133)","Epithelioid hemangioendothelioma, malignant (9133)",/3,9133/3,Epithelioid haemangioendothelioma NOS,Si,Malignant
189,"Hemangioendothelioma (9130, 9133)","Epithelioid hemangioendothelioma, malignant (9133)",/3,9133/3,Epithelioid haemangioendothelioma,Si,Malignant
190,"Hemangioendothelioma (9130, 9133)","Epithelioid hemangioendothelioma, malignant (9133)",/3,9133/3,Epithelioid haemangioendothelioma with WWTR1-CAMTA1 fusion,Si,Malignant
191,"Hemangioendothelioma (9130, 9133)","Epithelioid hemangioendothelioma, malignant (9133)",/3,9133/3,Epithelioid haemangioendothelioma with YAP1-TFE3 fusion,Si,Malignant
192,Intimal sarcoma (9137),Intimal sarcoma (9137),/0,9137/0,Myointimoma,boh!,
193,Intimal sarcoma (9137),Intimal sarcoma (9137),/3,9137/3,Intimal sarcoma,Si,Malignant
194,,,/3,9140/3,Kaposi sarcoma,NO,Malignant
195,,,,,Classic indolent Kaposi sarcoma,NO,Malignant
196,,,/3,9140/3,Endemic African Kaposi sarcoma,NO,Malignant
197,,,,,AIDS-associated Kaposi sarcoma,NO,Malignant
198,,,,,Iatrogenic Kaposi sarcoma,NO,Malignant
199,,,/3,9140/3,          Epidemic Kaposi sarcoma,NO,Malignant
200,,,/3,9140/3,          Iatrogenic/transplantation-related Kaposi sarcoma,NO,Malignant
201,,,/3,9140/3,          Sporadic/immunodeficiency-related Kaposi sarcoma,NO,Malignant
202,"Angiosarcoma (9120, 9170)",Lymphangiosarcoma (9170),/0,9170/0,Lymphangioma NOS,Si,Benign
203,"Angiosarcoma (9120, 9170)",Lymphangiosarcoma (9170),,,               Common (cystic) lymphatic malformation,Si,Benign
204,"Angiosarcoma (9120, 9170)",Lymphangiosarcoma (9170),,,               Generalized lymphatic anomaly,Si,Benign
205,"Angiosarcoma (9120, 9170)",Lymphangiosarcoma (9170),,,"               Central conduction lymphatic anomaly, also known as channel-type lymphatic malformati",Si,Benign
206,"Angiosarcoma (9120, 9170)",Lymphangiosarcoma (9170),,,               Kaposiform lymphangiomatosis,Si,Benign
207,"Angiosarcoma (9120, 9170)",Lymphangiosarcoma (9170),,,               Primary lymphoedema,Si,Benign
208,"Angiosarcoma (9120, 9170)",Lymphangiosarcoma (9170),,,Lymphangiomatosis,Si,Benign
209,"Angiosarcoma (9120, 9170)",Lymphangiosarcoma (9170),/3,9170/3,Diffuse lymphangiomatosis†,Si,Boh!
210,,,/3,9174/3,Lymphangioleiomyomatosis,Si,Borderline
211,"Extra-skeletal osteosarcoma (9180-9183,9185)",Extra-skeletal osteosarcoma (9180),/0,9180/0,Fibro-osseous tumour of digits,Si,Benign
212,"Extra-skeletal osteosarcoma (9180-9183,9185)",Extra-skeletal osteosarcoma (9180),,,     Fibrodysplasia ossificans progressiva,NO,
213,"Extra-skeletal osteosarcoma (9180-9183,9185)",Extra-skeletal osteosarcoma (9180),,,Radiation-associated sarcoma,Si,Malignant
,"Extra-skeletal osteosarcoma (9180-9183,9185)",Extra-skeletal osteosarcoma (9180),/3,9180/3,"Osteosarcoma, extraskeletal",Si,Malignant
,"Extra-skeletal osteosarcoma (9180-9183,9185)",Chondroblastic osteosarcoma (9181),/3,9181/3,Chondroblastic osteosarcoma,,
,"Extra-skeletal osteosarcoma (9180-9183,9185)",Fibroblastic osteosarcoma (9182),/3,9182/3,Fibroblastic osteosarcoma,,
,"Extra-skeletal osteosarcoma (9180-9183,9185)",Telangectasic osteosarcoma (9183),/3,9183/3,Telangiectatic osteosarcoma,,
,"Extra-skeletal osteosarcoma (9180-9183,9185)",Small cell/round cell osteosarcoma (9185),/3,9185/3,Small cell osteosarcoma,,
214,,,/0,9220/0,Chondroma,Si,Benign
215,,,/0,9220/0,Chondroma NOS,Si,Benign
216,,,,,Chondroblastoma-like soft tissue chondroma,Si,Benign
217,,,/1,9220/1,Enchondromatosis†,Si,Borderline
218,,,/1,9220/1,          Enchondromatosis in Ollier disease†,Si,Borderline
219,,,/1,9220/1,          Enchondromatosis in Maffucci syndrome†,Si,Borderline
220,Extraskeletal myxoid chondrosarcoma/chordoid sarcoma (9231),Extraskeletal myxoid chondrosarcoma/chordoid sarcoma (9231),/3,9231/3,Extraskeletal myxoid chondrosarcoma,Si,Malignant
,Extraskeletal mesenchymal chondrosarcoma (9240),Extraskeletal mesenchymal chondrosarcoma (9240),/3,9240/3,Mesenchymal chondrosarcoma,,
221,"Malignant tenosynovial giant cell tumor/giant cell tumor of tendon sheath, malignant (9252)","Malignant tenosynovial giant cell tumor/giant cell tumor of tendon sheath, malignant (9252)",/0,9252/0,Tenosynovial giant cell tumour NOS,Si,Benign
222,"Malignant tenosynovial giant cell tumor/giant cell tumor of tendon sheath, malignant (9252)","Malignant tenosynovial giant cell tumor/giant cell tumor of tendon sheath, malignant (9252)",/1,9252/1,"Tenosynovial giant cell tumour, diffuse",Si,Borderline
223,"Malignant tenosynovial giant cell tumor/giant cell tumor of tendon sheath, malignant (9252)","Malignant tenosynovial giant cell tumor/giant cell tumor of tendon sheath, malignant (9252)",/3,9252/3,Malignant tenosynovial giant cell tumour,Si,Malignant
224,,,/0,9261/0,Osteofibrous dysplasia,NO,Benign
225,,,/1,9261/1,Osteofibrous dysplasia-like adamantinoma,Sì,Borderline
226,,,/3,9261/3,Classic adamantinoma (malignant),Si,Malignant
227,"Extra-skeletal Ewing sarcoma (9260, 9364, 9365, 9503)",Extra-skeletal Ewing sarcoma (9364),/3,9364/3,Ewing sarcoma,Si,Malignant
228,"Extra-skeletal Ewing sarcoma (9260, 9364, 9365, 9503)",Extra-skeletal Ewing sarcoma (9364),/3,9364/3,          Adamantinoma-like Ewing sarcoma†,Si,Malignant
229,"Extra-skeletal Ewing sarcoma (9260, 9364, 9365, 9503)",Extra-skeletal Ewing sarcoma (9364),/3,9364/3,Renal Ewing sarcoma,Si,Malignant
,"Extra-skeletal Ewing sarcoma (9260, 9364, 9365, 9503)",Askin tumour (9365),/3,9365/3,Askin tumor,,
230,,,/3,9366/3,Round cell sarcoma with EWSR1-non-ETS fusions,Si,Malignant
231,,,/3,9366/3,          Round cell sarcoma with EWSR1/FUS::NFATC2†,Si,Malignant
232,,,/3,9366/3,          Round cell sarcoma with EWSR1::PATZ1†,Si,Malignant
233,,,/3,9367/3,CIC-rearranged sarcoma,Si,Malignant
234,,,/3,9368/3,Sarcoma with BCOR genetic alterations,Si,Malignant
235,,,,,     Notochordal tumours,Si,Benign
,,,,9370/0,Benign notochordal cell tumor,,Benign
,,,,9370/3,Chordoma ,Si,Malignant
,,,,9370/3,Poorly differentiated chordoma ,Si,Malignant
,,,,9372/3,Dedifferentiated chordoma ,Si,Malignant
236,,,/3,9480/3,"Primary intracranial sarcoma, DICER1-mutant†",Si,Malignant
,"Extra-skeletal Ewing sarcoma (9260, 9364, 9365, 9503)","Neuroepithelioma, malignant (9503)",/3,9503/3,"Neuroepithelioma, NOS",,
237,"MPNST (9540, 9542, 9560-9561, 9571)",MPNST (9540),/0,9540/0,Neurofibroma NOS,Si,Benign
238,"MPNST (9540, 9542, 9560-9561, 9571)",MPNST (9540),/0,9540/0,Neurofibroma,Si,Benign
239,"MPNST (9540, 9542, 9560-9561, 9571)",MPNST (9540),/0,9540/0,Ancient neurofibroma,Si,Benign
240,"MPNST (9540, 9542, 9560-9561, 9571)",MPNST (9540),/0,9540/0,Cellular neurofibroma,Si,Benign
241,"MPNST (9540, 9542, 9560-9561, 9571)",MPNST (9540),/0,9540/0,Diffuse neurofibroma,Si,Benign
242,"MPNST (9540, 9542, 9560-9561, 9571)",MPNST (9540),/0,9540/0,          Nodular neurofibroma†,Si,Benign
243,"MPNST (9540, 9542, 9560-9561, 9571)",MPNST (9540),/0,9540/0,          Massive soft tissue neurofibroma†,Si,Benign
244,"MPNST (9540, 9542, 9560-9561, 9571)",MPNST (9540),,,Atypical neurofibroma,Si,Benign
245,"MPNST (9540, 9542, 9560-9561, 9571)",MPNST (9540),/1,9540/1,         Atypical neurofibroma / atypical neurofibromatous neoplasm of uncertain biological potentia,Si,Borderline
246,"MPNST (9540, 9542, 9560-9561, 9571)",MPNST (9540),/3,9540/3,Malignant peripheral nerve sheath tumour NOS,Si,Malignant
247,"MPNST (9540, 9542, 9560-9561, 9571)",MPNST (9540),/3,9540/3,Malignant melanotic nerve sheath tumour,Si,Malignant
248,"MPNST (9540, 9542, 9560-9561, 9571)",Epithelioid MPNST (9542),/3,9542/3,"Malignant peripheral nerve sheath tumour, epithelioid",Si,Malignant
,"MPNST (9540, 9542, 9560-9561, 9571)",Epithelioid MPNST (9542),/3,9542/3,Epithelioid MPNST,,
,"MPNST (9540, 9542, 9560-9561, 9571)","Malignant schwannoma, NOS (9560)",/0,9560/0,Schwannoma,Si,Benigno
,"MPNST (9540, 9542, 9560-9561, 9571)","Malignant schwannoma, NOS (9560)",/0,9560/0,Schwannoma NOS,Si,Benigno
,"MPNST (9540, 9542, 9560-9561, 9571)","Malignant schwannoma, NOS (9560)",/0,9560/0,Ancient schwannoma,Si,Benigno
,"MPNST (9540, 9542, 9560-9561, 9571)","Malignant schwannoma, NOS (9560)",/0,9560/0,Cellular schwannoma,Si,Benigno
,"MPNST (9540, 9542, 9560-9561, 9571)","Malignant schwannoma, NOS (9560)",/0,9560/0,Plexiform schwannoma,Si,Benigno
,"MPNST (9540, 9542, 9560-9561, 9571)","Malignant schwannoma, NOS (9560)",/0,9560/0,Epithelioid schwannoma,Si,Benigno
,"MPNST (9540, 9542, 9560-9561, 9571)","Malignant schwannoma, NOS (9560)",/0,9560/0,Microcystic/reticular schwannoma,Si,Benigno
,"MPNST (9540, 9542, 9560-9561, 9571)","Malignant schwannoma, NOS (9560)",,,Melanotic schwannoma,Si,Benigno
,"MPNST (9540, 9542, 9560-9561, 9571)","Malignant schwannoma, NOS (9560)",,,Mucosal Schwann cell hamartoma,Si,Benigno
,"MPNST (9540, 9542, 9560-9561, 9571)","Malignant schwannoma, NOS (9560)",/1,9560/1,Melanotic schwannoma,,
,"MPNST (9540, 9542, 9560-9561, 9571)","Malignant schwannoma, NOS (9560)",/3,9560/3,"Malignant schwannoma, NOS",,
,"MPNST (9540, 9542, 9560-9561, 9571)",Malignant Triton Tumor (9561),/3,9561/3,"Triton tumor, malignant",,
,"MPNST (9540, 9542, 9560-9561, 9571)",Malignant Triton Tumor (9561),/3,9561/3,MPNST with rhabdomyoblastic differentiation,,
249,"MPNST (9540, 9542, 9560-9561, 9571)","Perineuroma, malignant (9571)",/0,9571/0,Perineurioma NOS,Si,Benign
250,"MPNST (9540, 9542, 9560-9561, 9571)","Perineuroma, malignant (9571)",/0,9571/0,Perineurioma,Si,Benign
251,"MPNST (9540, 9542, 9560-9561, 9571)","Perineuroma, malignant (9571)",,,Reticular perineurioma,Si,Benign
252,"MPNST (9540, 9542, 9560-9561, 9571)","Perineuroma, malignant (9571)",,,Sclerosing perineurioma,Si,Benign
253,"MPNST (9540, 9542, 9560-9561, 9571)","Perineuroma, malignant (9571)",/3,9571/3,"Perineurioma, malignant",Si,Malignant
254,Malignant granular cell tumour (9580),Malignant granular cell tumour (9580),/0,9580/0,Granular cell tumour NOS,Si,Benign
255,Malignant granular cell tumour (9580),Malignant granular cell tumour (9580),/0,9580/0,Granular cell tumour,Si,Benign
256,Malignant granular cell tumour (9580),Malignant granular cell tumour (9580),/3,9580/3,"Granular cell tumour, malignant",Si,Malignant
257,Alveolar soft part sarcoma (9581),Alveolar soft part sarcoma (9581),/3,9581/3,Alveolar soft part sarcoma,Si,Malignant
258,,,/3,9740/3,Mast cell sarcoma,No,
259,,,/1,9749/1,Juvenile xanthogranuloma†,Si,Borderline
260,,,/3,9755/3,Histiocytic sarcoma,Si,Malignant
,,,/3,9756/3,Langherans cell sarcoma ,Si,Malignant
261,,,/3,9758/3,Follicular dendritic cell sarcoma,Si,Malignant
,,,/3,9759/3,fibroblastic reticular cell tumors,Si,Malignant
262,,,/3,9930/3,Myeloid sarcoma,No,
